Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_2,Chrome 95.0.4638.54,,,2021-10-28 16:30:12,2021-10-28 16:35:52,5m - 39.511s,PASSED
,,,,,,,
Test Cases/TestCase_4_Search_Functionality/1_Search_by_clicking_Search_Icon,Chrome 95.0.4638.54,,,2021-10-28 16:30:13,2021-10-28 16:30:55,42.103s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:30:13,2021-10-28 16:30:47,33.285s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:30:47,2021-10-28 16:30:47,0.874s,PASSED
"click(findTestObject(""Searchbar_OR/MagnifyingGlass_Position""))",Chrome 95.0.4638.54,,,2021-10-28 16:30:47,2021-10-28 16:30:49,1.313s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:30:49,2021-10-28 16:30:54,5.700s,PASSED
"expectedTitle = ""Search Results""",Chrome 95.0.4638.54,,,2021-10-28 16:30:54,2021-10-28 16:30:54,0.000s,PASSED
actualTitle = getWindowTitle(),Chrome 95.0.4638.54,,,2021-10-28 16:30:54,2021-10-28 16:30:54,0.026s,PASSED
"verifyMatch(actualTitle, expectedTitle, true)",Chrome 95.0.4638.54,,,2021-10-28 16:30:54,2021-10-28 16:30:55,0.023s,PASSED
"verifyElementText(findTestObject(""Search_Result_Page_OR/ProductManual_word_location""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:30:55,2021-10-28 16:30:55,0.371s,PASSED
,,,,,,,
Test Cases/TestCase_4_Search_Functionality/2_Search_by_pressing_Enter,Chrome 95.0.4638.54,,,2021-10-28 16:30:55,2021-10-28 16:31:33,37.770s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:30:55,2021-10-28 16:31:25,29.615s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:31:25,2021-10-28 16:31:26,0.808s,PASSED
"sendKeys(findTestObject(""Searchbar_OR/Searchbar_position""), Keys.chord(ENTER))",Chrome 95.0.4638.54,,,2021-10-28 16:31:26,2021-10-28 16:31:27,1.276s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:31:27,2021-10-28 16:31:32,5.161s,PASSED
"expectedTitle = ""Search Results""",Chrome 95.0.4638.54,,,2021-10-28 16:31:32,2021-10-28 16:31:32,0.000s,PASSED
actualTitle = getWindowTitle(),Chrome 95.0.4638.54,,,2021-10-28 16:31:32,2021-10-28 16:31:32,0.007s,PASSED
"verifyMatch(actualTitle, expectedTitle, true)",Chrome 95.0.4638.54,,,2021-10-28 16:31:32,2021-10-28 16:31:32,0.000s,PASSED
